#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 09 06 00 107  7.0  7.5 99.00 99.00 99.00 999 1020.3  22.1 999.0 999.0 99.0 99.00
2008 01 09 07 00 100  6.6  6.9 99.00 99.00 99.00 999 1019.9  21.9 999.0 999.0 99.0 99.00
2008 01 09 08 00  93  6.4  6.8 99.00 99.00 99.00 999 1019.6  21.8 999.0 999.0 99.0 99.00
2008 01 09 09 00  88  6.1  6.7 99.00 99.00 99.00 999 1019.6  21.7 999.0 999.0 99.0 99.00
2008 01 09 10 00  58  5.9  6.3 99.00 99.00 99.00 999 1020.1  21.5 999.0 999.0 99.0 99.00
2008 01 09 11 00  64  6.2  7.0 99.00 99.00 99.00 999 1020.0  21.4 999.0 999.0 99.0 99.00
2008 01 09 12 00  67  7.0  7.9 99.00 99.00 99.00 999 1020.1  21.5 999.0 999.0 99.0 99.00
2008 01 09 13 00  63  7.2  7.9 99.00 99.00 99.00 999 1020.6  21.5 999.0 999.0 99.0 99.00
2008 01 09 14 00  68  6.7  7.5 99.00 99.00 99.00 999 1021.3  21.9 999.0 999.0 99.0 99.00
2008 01 09 15 00  74  6.4  6.9 99.00 99.00 99.00 999 1021.6  22.1 999.0 999.0 99.0 99.00
2008 01 09 16 00  81  5.6  6.2 99.00 99.00 99.00 999 1021.2  22.0 999.0 999.0 99.0 99.00
2008 01 09 17 00  82  6.8  7.4 99.00 99.00 99.00 999 1020.5  22.0 999.0 999.0 99.0 99.00
2008 01 09 18 00  73  6.1  6.5 99.00 99.00 99.00 999 1019.2  21.6 999.0 999.0 99.0 99.00
2008 01 09 19 00  81  7.4  7.7 99.00 99.00 99.00 999 1018.2  21.7 999.0 999.0 99.0 99.00
2008 01 09 20 00  71  6.2  6.8 99.00 99.00 99.00 999 1017.8  21.8 999.0 999.0 99.0 99.00
2008 01 09 21 00  73  6.2  6.5 99.00 99.00 99.00 999 1017.7  21.9 999.0 999.0 99.0 99.00
2008 01 09 22 00  75  5.7  6.3 99.00 99.00 99.00 999 1017.6  22.0 999.0 999.0 99.0 99.00
